file,name,line,tokens,words_num,polarity,subjectivity,lex_div
script-ch0.rpy,Sayori,Heeeeeeeyyy!!,"['heeeeeeeyyy', '!', '!']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Haaahhh...haaahhh...,"['haaahhh', '...', 'haaahhh', '...']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,I overslept again!,"['overslept', '!']",3,0.0,0.0,1.0
script-ch0.rpy,Sayori,But I caught you this time!,"['caught', 'time', '!']",6,0.0,0.0,1.0
script-ch0.rpy,Sayori,Eeehhhhh you say that like you were thinking about ignoring me!,"['eeehhhhh', 'say', 'like', 'thinking', 'ignoring', '!']",11,0.0,0.0,0.9090909090909091
script-ch0.rpy,Sayori,Thats mean player!,"['thats', 'mean', 'player', '!']",3,-0.390625,0.6875,1.0
script-ch0.rpy,Sayori,Fine fine.,"['fine', 'fine']",2,0.4166666666666667,0.5,0.5
script-ch0.rpy,Sayori,But you did wait for me after all.,['wait'],8,0.0,0.0,1.0
script-ch0.rpy,Sayori,I guess you dont have it in you to be mean even if you want to~,"['guess', 'dont', 'mean', 'even', 'want', 'to~']",16,-0.3125,0.6875,0.875
script-ch0.rpy,Sayori,Ehehe~,['ehehe~'],1,0.0,0.0,1.0
script-ch0.rpy,Sayori,By the way player...,"['way', 'player', '...']",4,0.0,0.0,1.0
script-ch0.rpy,Sayori,Have you decided on a club to join yet?,"['decided', 'club', 'join', 'yet', '?']",9,0.0,0.0,1.0
script-ch0.rpy,Sayori,Eh? Thats not true!,"['eh', '?', 'thats', 'true', '!']",4,-0.21875,0.65,1.0
script-ch0.rpy,Sayori,You told me you would join a club this year!,"['told', 'would', 'join', 'club', 'year', '!']",10,0.0,0.0,0.9
script-ch0.rpy,Sayori,Uh-huh!,"['uh-huh', '!']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,I was talking about how Im worried that you wont learn how to socialize or have any skills before college.,"['talking', 'im', 'worried', 'wont', 'learn', 'socialize', 'skills', 'college']",20,0.0,0.0,0.95
script-ch0.rpy,Sayori,Your happiness is really important to me you know!,"['happiness', 'really', 'important', 'know', '!']",9,0.6,0.6,1.0
script-ch0.rpy,Sayori,And I know youre happy now but Id die at the thought of you becoming a NEET in a few years because youre not used to the real world!,"['know', 'youre', 'happy', 'id', 'die', 'thought', 'becoming', 'neet', 'years', 'youre', 'used', 'real', 'world', '!']",29,0.325,0.5625,0.896551724137931
script-ch0.rpy,Sayori,You trust me right?,"['trust', 'right', '?']",4,0.2857142857142857,0.5357142857142857,1.0
script-ch0.rpy,Sayori,Dont make me keep worrying about you...,"['dont', 'make', 'keep', 'worrying', '...']",7,0.0,0.0,1.0
script-ch0.rpy,Sayori,Will you at least promise me youll try a little?,"['least', 'promise', 'youll', 'try', 'little', '?']",10,-0.24375,0.45,1.0
script-ch0.rpy,Sayori,Yaay~!,"['yaay~', '!']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Hellooo?,"['hellooo', '?']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,I thought Id catch you coming out of the classroom but I saw you just sitting here and spacing out so I came in.,"['thought', 'id', 'catch', 'coming', 'classroom', 'saw', 'sitting', 'spacing', 'came']",24,0.0,0.0,0.8333333333333334
script-ch0.rpy,Sayori,Honestly youre even worse than me sometimes... Im impressed!,"['honestly', 'youre', 'even', 'worse', 'sometimes', '...', 'im', 'impressed', '!']",9,0.39999999999999997,0.8333333333333334,1.0
script-ch0.rpy,Sayori,Well I thought you might need some encouragement so I thought you know...,"['well', 'thought', 'might', 'need', 'encouragement', 'thought', 'know', '...']",13,0.0,0.0,0.7692307692307693
script-ch0.rpy,Sayori,Well that you could come to my club!,"['well', 'could', 'come', 'club', '!']",8,0.0,0.0,1.0
script-ch0.rpy,Sayori,Yeah??,"['yeah', '?', '?']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Eeeehhhhh?! Meanie!,"['eeeehhhhh', '?', '!', 'meanie', '!']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,Cmon please?,"['cmon', 'please', '?']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,Well...,"['well', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,I kind of told the club yesterday I would bring in a new member...,"['kind', 'told', 'club', 'yesterday', 'would', 'bring', 'new', 'member', '...']",14,0.36818181818181817,0.6772727272727272,0.9285714285714286
script-ch0.rpy,Sayori,And Natsuki made cupcakes and everything...,"['natsuki', 'made', 'cupcakes', 'everything', '...']",6,0.0,0.0,0.8333333333333334
script-ch0.rpy,Sayori,Ehehe...,"['ehehe', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Yes! Lets go~!,"['yes', '!', 'lets', 'go~', '!']",3,0.0,0.0,1.0
script-ch0.rpy,Sayori,Everyone! The new member is here~!,"['everyone', '!', 'new', 'member', 'here~', '!']",6,0.17045454545454544,0.45454545454545453,1.0
script-ch0.rpy,Sayori,You can just ignore her when she gets moody~,"['ignore', 'gets', 'moody~']",9,0.0,0.0,1.0
script-ch0.rpy,Sayori,Anyway! This is Natsuki always full of energy.,"['anyway', '!', 'natsuki', 'always', 'full', 'energy']",8,0.35,0.55,1.0
script-ch0.rpy,Sayori,And this is Yuri the smartest in the club!,"['yuri', 'smartest', 'club', '!']",9,0.0,0.0,0.8888888888888888
script-ch0.rpy,Sayori,And it sounds like you already know Monika is that right?,"['sounds', 'like', 'already', 'know', 'monika', 'right', '?']",11,0.2857142857142857,0.5357142857142857,1.0
script-ch0.rpy,Sayori,Come sit down player! We made room for you at the table so you can sit next to me or Monika.,"['come', 'sit', 'player', '!', 'made', 'room', 'table', 'sit', 'next', 'monika']",21,-0.09722222222222224,0.14444444444444446,0.9047619047619048
script-ch0.rpy,Sayori,Ill get the cupcakes~,"['ill', 'get', 'cupcakes~']",4,-0.5,1.0,1.0
script-ch0.rpy,Sayori,Sorry I got a little too excited~,"['sorry', 'got', 'little', 'excited~']",7,-0.10416666666666667,0.75,1.0
script-ch0.rpy,Sayori,Uwooooah!,"['uwooooah', '!']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,So cuuuute~!,"['cuuuute~', '!']",2,0.0,0.0,1.0
