file,name,line,tokens,words_num,polarity,subjectivity,lex_div,Cluster
script-ch0.rpy,Natsuki,Seriously? You brought a boy?,"['seriously', '?', 'brought', 'boy', '?']",5,-0.3333333333333333,0.6666666666666666,1.0,2
script-ch0.rpy,Natsuki,Way to kill the atmosphere.,"['way', 'kill', 'atmosphere']",5,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,What are you looking at?,"['looking', '?']",5,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,If you want to say something say it.,"['want', 'say', 'something', 'say']",8,0.0,0.0,0.875,2
script-ch0.rpy,Natsuki,Hmph.,['hmph'],1,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,Hey! I made them Ill get them!,"['hey', '!', 'made', 'ill', 'get', '!']",7,-0.625,1.0,0.8571428571428571,0
script-ch0.rpy,Natsuki,Okaaay are you ready?,"['okaaay', 'ready', '?']",4,0.2,0.5,1.0,2
script-ch0.rpy,Natsuki,...Ta-daa!,"['...', 'ta-daa', '!']",2,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,Ehehe. Well you know.,"['ehehe', 'well', 'know']",4,0.0,0.0,1.0,1
script-ch0.rpy,Natsuki,Just hurry and take one!,"['hurry', 'take', 'one', '!']",5,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,W-Why are you thanking me? Its not like I...!,"['w-why', 'thanking', '?', 'like', '...', '!']",10,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,...Made them for you or anything.,"['...', 'made', 'anything']",6,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,12c Well maybe!,"['12c', 'well', 'maybe', '!']",3,0.0,0.0,1.0,1
script-ch0.rpy,Natsuki,But not for y-you know iyou!/i Dummy...,"['y-you', 'know', 'iyou', '!', '/i', 'dummy', '...']",9,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,You know it!,"['know', '!']",3,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,Ugh I hate horror...,"['ugh', 'hate', 'horror', '...']",4,-0.8,0.9,1.0,0
script-ch0.rpy,Natsuki,Well I just...,"['well', '...']",3,0.0,0.0,1.0,1
script-ch0.rpy,Natsuki,Never mind.,"['never', 'mind']",2,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,W-What?,"['w-what', '?']",2,0.0,0.0,1.0,1
script-ch0.rpy,Natsuki,What gives you that idea?,"['gives', 'idea', '?']",5,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,Dont say it out loud!!,"['dont', 'say', 'loud', '!', '!']",5,0.15625,0.8,1.0,2
script-ch0.rpy,Natsuki,And give that back!,"['give', 'back', '!']",4,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,iIm not cute!!/i,"['iim', 'cute', '!', '!', '/i']",4,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,Eh? Well I guess sometimes.,"['eh', '?', 'well', 'guess', 'sometimes']",5,0.0,0.0,1.0,1
script-ch0.rpy,Natsuki,Why do you care?,"['care', '?']",4,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,N-No!,"['n-no', '!']",2,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,You wouldnt...like them...,"['wouldnt', '...', 'like', '...']",4,0.0,0.0,1.0,2
script-ch0.rpy,Natsuki,    ny ...?,"['ny', '...', '?']",1,0.0,0.0,0.6666666666666666,0
script-ch0.rpy,Natsuki,U-Um...,"['u-um', '...']",2,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,Hmph.,['hmph'],1,0.0,0.0,1.0,0
script-ch0.rpy,Natsuki,If you really just came for the cupcakes I would be super pissed.,"['really', 'came', 'cupcakes', 'would', 'super', 'pissed']",13,0.26666666666666666,0.43333333333333335,1.0,2
script-ch1.rpy,Natsuki,Oh come on! Like he deserves any slack.,"['oh', 'come', '!', 'like', 'deserves', 'slack']",8,0.0,0.0,1.0,0
script-ch1.rpy,Natsuki,Sayori told me you didnt even want to join any clubs this year.,"['sayori', 'told', 'didnt', 'even', 'want', 'join', 'clubs', 'year']",13,0.0,0.0,1.0,2
script-ch1.rpy,Natsuki,And last year too!,"['last', 'year', '!']",4,0.0,0.06666666666666667,1.0,0
script-ch1.rpy,Natsuki,I dont know if you plan to just come here and hang out or what...,"['dont', 'know', 'plan', 'come', 'hang', '...']",15,0.0,0.0,1.0,2
script-ch1.rpy,Natsuki,But if you dont take us seriously then you wont see the end of it.,"['dont', 'take', 'us', 'seriously', 'wont', 'see', 'end']",15,-0.3333333333333333,0.6666666666666666,0.9333333333333333,2
script-ch1.rpy,Natsuki,M-M-M...!!,"['m-m-m', '...', '!', '!']",3,0.0,0.0,1.0,0
script-ch1.rpy,Natsuki,Manga is literature!!,"['manga', 'literature', '!', '!']",3,0.0,0.0,1.0,0
