file,name,line,tokens,words_num,polarity,subjectivity,lex_div,Cluster
script-ch0.rpy,Yuri,Welcome to the Literature Club. Its a pleasure meeting you.,"['welcome', 'literature', 'club', 'pleasure', 'meeting']",10,0.8,0.9,1.0,0
script-ch0.rpy,Yuri,Sayori always says nice things about you.,"['sayori', 'always', 'says', 'nice', 'things']",7,0.6,1.0,1.0,0
script-ch0.rpy,Yuri,Natsuki...,"['natsuki', '...']",1,0.0,0.0,1.0,1
script-ch0.rpy,Yuri,D-Dont say things like that...,"['d-dont', 'say', 'things', 'like', '...']",6,0.0,0.0,1.0,0
script-ch0.rpy,Yuri,Then how about I make some tea as well?,"['make', 'tea', 'well', '?']",9,0.0,0.0,1.0,1
script-ch0.rpy,Yuri,Dont worry the teachers gave us permission.,"['dont', 'worry', 'teachers', 'gave', 'us', 'permission']",7,0.0,0.0,1.0,1
script-ch0.rpy,Yuri,After all doesnt a hot cup of tea help you enjoy a good book?,"['doesnt', 'hot', 'cup', 'tea', 'help', 'enjoy', 'good', 'book', '?']",14,0.45,0.65,0.9285714285714286,0
script-ch0.rpy,Yuri,Eh?! T-Thats not...,"['eh', '?', '!', 't-thats', '...']",4,0.0,0.0,1.0,3
script-ch0.rpy,Yuri,I meant that you know...,"['meant', 'know', '...']",5,0.0,0.0,1.0,0
script-ch0.rpy,Yuri,Im glad...,"['im', 'glad', '...']",2,0.5,1.0,1.0,3
script-ch0.rpy,Yuri,Well do our best.,"['well', 'best']",4,1.0,0.3,1.0,3
script-ch0.rpy,Yuri,So player what kinds of things do you like to read?,"['player', 'kinds', 'things', 'like', 'read', '?']",11,0.0,0.0,1.0,0
script-ch0.rpy,Yuri,N-Not much of a reader I guess...,"['n-not', 'much', 'reader', 'guess', '...']",8,0.2,0.2,1.0,1
script-ch0.rpy,Yuri,Well lets see...,"['well', 'lets', 'see', '...']",3,0.0,0.0,1.0,3
script-ch0.rpy,Yuri,My favorites are usually novels that build deep and complex fantasy worlds.,"['favorites', 'usually', 'novels', 'build', 'deep', 'complex', 'fantasy', 'worlds']",12,-0.18333333333333335,0.35000000000000003,1.0,1
script-ch0.rpy,Yuri,The level of creativity and craftsmanship behind them is amazing to me.,"['level', 'creativity', 'craftsmanship', 'behind', 'amazing']",12,0.10000000000000003,0.8,1.0,1
script-ch0.rpy,Yuri,And telling a good story in such a foreign world is equally impressive.,"['telling', 'good', 'story', 'foreign', 'world', 'equally', 'impressive']",13,0.39375,0.55625,0.9230769230769231,1
script-ch0.rpy,Yuri,But you know I like a lot of things.,"['know', 'like', 'lot', 'things']",9,0.0,0.0,1.0,0
script-ch0.rpy,Yuri,Stories with deep psychological elements usually immerse me as well.,"['stories', 'deep', 'psychological', 'elements', 'usually', 'immerse', 'well']",10,-0.08333333333333333,0.25,1.0,1
script-ch0.rpy,Yuri,Isnt it amazing how a writer can so deliberately take advantage of your own lack of imagination to completely throw you for a loop?,"['isnt', 'amazing', 'writer', 'deliberately', 'take', 'advantage', 'lack', 'imagination', 'completely', 'throw', 'loop', '?']",24,0.4333333333333334,0.7666666666666666,0.9166666666666666,0
script-ch0.rpy,Yuri,Anyway Ive been reading a lot of horror lately...,"['anyway', 'ive', 'reading', 'lot', 'horror', 'lately', '...']",9,-0.3,0.6,1.0,1
script-ch0.rpy,Yuri,I guess you could say that.,"['guess', 'could', 'say']",6,0.0,0.0,1.0,0
script-ch0.rpy,Yuri,But if a story makes me think or takes me to another world then I really cant put it down.,"['story', 'makes', 'think', 'takes', 'another', 'world', 'really', 'cant', 'put']",20,0.022222222222222213,0.24444444444444446,0.95,1
script-ch0.rpy,Yuri,Surreal horror is often very successful at changing the way you look at the world if only for a brief moment.,"['surreal', 'horror', 'often', 'successful', 'changing', 'way', 'look', 'world', 'brief', 'moment']",21,0.30625,0.8333333333333334,0.9047619047619048,1
script-ch0.rpy,Yuri,Oh? Whys that?,"['oh', '?', 'whys', '?']",3,0.0,0.0,1.0,1
script-ch0.rpy,Yuri,I understand how Natsuki feels.,"['understand', 'natsuki', 'feels']",5,0.0,0.0,1.0,1
script-ch0.rpy,Yuri,Sharing that level of writing takes more than just confidence.,"['sharing', 'level', 'writing', 'takes', 'confidence']",10,0.5,0.5,1.0,1
script-ch0.rpy,Yuri,The truest form of writing is writing to oneself.,"['truest', 'form', 'writing', 'writing', 'oneself']",9,0.0,0.0,0.8888888888888888,1
