file,name,line,tokens,words_num,polarity,subjectivity,lex_div,Cluster
script-ch0.rpy,Monika,Maybe but only because I decided to stop and wait for you.,"['maybe', 'decided', 'stop', 'wait']",12,0.0,1.0,1.0,5
script-ch0.rpy,Monika,Well if people stare at you for acting weird then I dont want them to think were a couple or something.,"['well', 'people', 'stare', 'acting', 'weird', 'dont', 'want', 'think', 'couple', 'something']",21,-0.25,0.5,1.0,5
script-ch0.rpy,Monika,Whatever you say Sayori...,"['whatever', 'say', 'sayori', '...']",4,0.0,0.0,1.0,5
script-ch0.rpy,Monika,A club?,"['club', '?']",2,0.0,0.0,1.0,1
script-ch0.rpy,Monika,I told you already Im really not interested in joining any clubs.,"['told', 'already', 'im', 'really', 'interested', 'joining', 'clubs']",12,-0.125,0.5,1.0,1
script-ch0.rpy,Monika,I havent been looking either.,"['havent', 'looking', 'either']",5,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Did I...?,"['...', '?']",2,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Alright alright...,"['alright', 'alright', '...']",2,0.0,0.0,0.5,1
script-ch0.rpy,Monika,Ill look at a few clubs if it makes you happy.,"['ill', 'look', 'clubs', 'makes', 'happy']",11,0.03333333333333336,0.7000000000000001,1.0,2
script-ch0.rpy,Monika,No promises though.,"['promises', 'though']",3,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Yeah I guess Ill promise you that.,"['yeah', 'guess', 'ill', 'promise']",7,-0.5,1.0,1.0,4
script-ch0.rpy,Monika,Clubs...,"['clubs', '...']",1,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Sayori...?,"['sayori', '...', '?']",1,0.0,0.0,1.0,4
script-ch0.rpy,Monika,You dont need to wait up for me if its going to make you late to your own club.,"['dont', 'need', 'wait', 'going', 'make', 'late', 'club']",19,0.15,0.8,0.8421052631578947,5
script-ch0.rpy,Monika,Know what?,"['know', '?']",2,0.0,0.0,1.0,5
script-ch0.rpy,Monika,Sayori...,"['sayori', '...']",1,0.0,0.0,1.0,4
script-ch0.rpy,Monika,...There is no way Im going to your club.,"['...', 'way', 'im', 'going', 'club']",9,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Yeah. Im going to the anime club.,"['yeah', 'im', 'going', 'anime', 'club']",7,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Why do you care so much anyway?,"['care', 'much', 'anyway', '?']",7,0.2,0.2,1.0,5
script-ch0.rpy,Monika,Dont make promises you cant keep!,"['dont', 'make', 'promises', 'cant', 'keep', '!']",6,0.0,0.0,1.0,5
script-ch0.rpy,Monika,Fine... Ill stop by for a cupcake okay?,"['fine', '...', 'ill', 'stop', 'cupcake', 'okay', '?']",8,0.1388888888888889,0.6666666666666666,1.0,1
script-ch0.rpy,Monika,I told you dont call me a new member--,"['told', 'dont', 'call', 'new', 'member', '--']",9,0.13636363636363635,0.45454545454545453,1.0,5
script-ch0.rpy,Monika,Ah player! What a nice surprise!,"['ah', 'player', '!', 'nice', 'surprise', '!']",6,0.75,1.0,1.0,1
script-ch0.rpy,Monika,Welcome to the club!,"['welcome', 'club', '!']",4,1.0,0.9,1.0,1
script-ch0.rpy,Monika,...,['...'],0,0.0,0.0,1.0,1
script-ch0.rpy,Monika,S-Sorry...,"['s-sorry', '...']",2,0.0,0.0,1.0,1
script-ch0.rpy,Monika,Ah... Well its nice to meet both of you.,"['ah', '...', 'well', 'nice', 'meet']",9,0.6,1.0,1.0,5
script-ch0.rpy,Monika,Thats right.,"['thats', 'right']",2,0.2857142857142857,0.5357142857142857,1.0,1
script-ch0.rpy,Monika,Its great to see you again player.,"['great', 'see', 'player']",7,0.8,0.75,1.0,5
script-ch0.rpy,Monika,Y-You too Monika.,"['y-you', 'monika']",4,0.0,0.0,1.0,5
script-ch0.rpy,Monika,I had no idea you were so good at baking Natsuki!,"['idea', 'good', 'baking', 'natsuki', '!']",11,0.875,0.6000000000000001,1.0,5
script-ch0.rpy,Monika,This is really good.,"['really', 'good']",4,0.7,0.6000000000000001,1.0,1
script-ch0.rpy,Monika,Thank you Natsuki.,"['thank', 'natsuki']",3,0.0,0.0,1.0,5
