file,name,line,tokens,words_num,polarity,subjectivity,lex_div,Cluster
script-ch0.rpy,Sayori,Heeeeeeeyyy!!,"['heeeeeeeyyy', '!', '!']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Haaahhh...haaahhh...,"['haaahhh', '...', 'haaahhh', '...']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,I overslept again!,"['overslept', '!']",3,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,But I caught you this time!,"['caught', 'time', '!']",6,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,Eeehhhhh you say that like you were thinking about ignoring me!,"['eeehhhhh', 'say', 'like', 'thinking', 'ignoring', '!']",11,0.0,0.0,0.9090909090909091,3
script-ch0.rpy,Sayori,Thats mean player!,"['thats', 'mean', 'player', '!']",3,-0.390625,0.6875,1.0,4
script-ch0.rpy,Sayori,Fine fine.,"['fine', 'fine']",2,0.4166666666666667,0.5,0.5,0
script-ch0.rpy,Sayori,But you did wait for me after all.,['wait'],8,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,I guess you dont have it in you to be mean even if you want to~,"['guess', 'dont', 'mean', 'even', 'want', 'to~']",16,-0.3125,0.6875,0.875,0
script-ch0.rpy,Sayori,Ehehe~,['ehehe~'],1,0.0,0.0,1.0,2
script-ch0.rpy,Sayori,By the way player...,"['way', 'player', '...']",4,0.0,0.0,1.0,4
script-ch0.rpy,Sayori,Have you decided on a club to join yet?,"['decided', 'club', 'join', 'yet', '?']",9,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Eh? Thats not true!,"['eh', '?', 'thats', 'true', '!']",4,-0.21875,0.65,1.0,1
script-ch0.rpy,Sayori,You told me you would join a club this year!,"['told', 'would', 'join', 'club', 'year', '!']",10,0.0,0.0,0.9,3
script-ch0.rpy,Sayori,Uh-huh!,"['uh-huh', '!']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,I was talking about how Im worried that you wont learn how to socialize or have any skills before college.,"['talking', 'im', 'worried', 'wont', 'learn', 'socialize', 'skills', 'college']",20,0.0,0.0,0.95,0
script-ch0.rpy,Sayori,Your happiness is really important to me you know!,"['happiness', 'really', 'important', 'know', '!']",9,0.6,0.6,1.0,0
script-ch0.rpy,Sayori,And I know youre happy now but Id die at the thought of you becoming a NEET in a few years because youre not used to the real world!,"['know', 'youre', 'happy', 'id', 'die', 'thought', 'becoming', 'neet', 'years', 'youre', 'used', 'real', 'world', '!']",29,0.325,0.5625,0.896551724137931,0
script-ch0.rpy,Sayori,You trust me right?,"['trust', 'right', '?']",4,0.2857142857142857,0.5357142857142857,1.0,0
script-ch0.rpy,Sayori,Dont make me keep worrying about you...,"['dont', 'make', 'keep', 'worrying', '...']",7,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Will you at least promise me youll try a little?,"['least', 'promise', 'youll', 'try', 'little', '?']",10,-0.24375,0.45,1.0,0
script-ch0.rpy,Sayori,Yaay~!,"['yaay~', '!']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Hellooo?,"['hellooo', '?']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,I thought Id catch you coming out of the classroom but I saw you just sitting here and spacing out so I came in.,"['thought', 'id', 'catch', 'coming', 'classroom', 'saw', 'sitting', 'spacing', 'came']",24,0.0,0.0,0.8333333333333334,0
script-ch0.rpy,Sayori,Honestly youre even worse than me sometimes... Im impressed!,"['honestly', 'youre', 'even', 'worse', 'sometimes', '...', 'im', 'impressed', '!']",9,0.39999999999999997,0.8333333333333334,1.0,0
script-ch0.rpy,Sayori,Well I thought you might need some encouragement so I thought you know...,"['well', 'thought', 'might', 'need', 'encouragement', 'thought', 'know', '...']",13,0.0,0.0,0.7692307692307693,0
script-ch0.rpy,Sayori,Well that you could come to my club!,"['well', 'could', 'come', 'club', '!']",8,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,Yeah??,"['yeah', '?', '?']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Eeeehhhhh?! Meanie!,"['eeeehhhhh', '?', '!', 'meanie', '!']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Cmon please?,"['cmon', 'please', '?']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Well...,"['well', '...']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,I kind of told the club yesterday I would bring in a new member...,"['kind', 'told', 'club', 'yesterday', 'would', 'bring', 'new', 'member', '...']",14,0.36818181818181817,0.6772727272727272,0.9285714285714286,0
script-ch0.rpy,Sayori,And Natsuki made cupcakes and everything...,"['natsuki', 'made', 'cupcakes', 'everything', '...']",6,0.0,0.0,0.8333333333333334,0
script-ch0.rpy,Sayori,Ehehe...,"['ehehe', '...']",1,0.0,0.0,1.0,2
script-ch0.rpy,Sayori,Yes! Lets go~!,"['yes', '!', 'lets', 'go~', '!']",3,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Everyone! The new member is here~!,"['everyone', '!', 'new', 'member', 'here~', '!']",6,0.17045454545454544,0.45454545454545453,1.0,0
script-ch0.rpy,Sayori,You can just ignore her when she gets moody~,"['ignore', 'gets', 'moody~']",9,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Anyway! This is Natsuki always full of energy.,"['anyway', '!', 'natsuki', 'always', 'full', 'energy']",8,0.35,0.55,1.0,3
script-ch0.rpy,Sayori,And this is Yuri the smartest in the club!,"['yuri', 'smartest', 'club', '!']",9,0.0,0.0,0.8888888888888888,3
script-ch0.rpy,Sayori,And it sounds like you already know Monika is that right?,"['sounds', 'like', 'already', 'know', 'monika', 'right', '?']",11,0.2857142857142857,0.5357142857142857,1.0,3
script-ch0.rpy,Sayori,Come sit down player! We made room for you at the table so you can sit next to me or Monika.,"['come', 'sit', 'player', '!', 'made', 'room', 'table', 'sit', 'next', 'monika']",21,-0.09722222222222224,0.14444444444444446,0.9047619047619048,0
script-ch0.rpy,Sayori,Ill get the cupcakes~,"['ill', 'get', 'cupcakes~']",4,-0.5,1.0,1.0,0
script-ch0.rpy,Sayori,Sorry I got a little too excited~,"['sorry', 'got', 'little', 'excited~']",7,-0.10416666666666667,0.75,1.0,0
script-ch0.rpy,Sayori,Uwooooah!,"['uwooooah', '!']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,So cuuuute~!,"['cuuuute~', '!']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Its delicious!,"['delicious', '!']",2,1.0,1.0,1.0,0
script-ch0.rpy,Sayori,Monika really is a great leader!,"['monika', 'really', 'great', 'leader', '!']",6,1.0,0.75,1.0,0
script-ch0.rpy,Sayori,Yeah!,"['yeah', '!']",1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Ehehe your cupcakes your poems...,"['ehehe', 'cupcakes', 'poems', '...']",5,0.0,0.0,0.8,0
script-ch0.rpy,Sayori,Everything you do is just as cute as you are~,"['everything', 'cute', 'are~']",10,0.5,1.0,0.8,0
script-ch0.rpy,Sayori,Aww... I wanted to read everyones poems...,"['aww', '...', 'wanted', 'read', 'everyones', 'poems', '...']",7,0.3,0.9,1.0,0
script-ch0.rpy,Sayori,Yeaaah! Lets do it!,"['yeaaah', '!', 'lets', '!']",4,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,player...,"['player', '...']",1,0.0,0.0,1.0,4
script-ch0.rpy,Sayori,Yesss! Im so happyyy~,"['yesss', '!', 'im', 'happyyy~']",4,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Hey player since were already here do you want to walk home together?,"['hey', 'player', 'since', 'already', 'want', 'walk', 'home', 'together', '?']",13,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Yaay~,['yaay~'],1,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,W-What...,"['w-what', '...']",2,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,This...,['...'],1,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,What is this...?,"['...', '?']",3,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,Oh no...,"['oh', '...']",2,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,No...,['...'],1,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,This cant be it.,['cant'],4,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,This cant be all there is.,['cant'],6,0.0,0.0,0.8333333333333334,3
script-ch0.rpy,Sayori,What is this?,['?'],3,0.0,0.0,1.0,3
script-ch0.rpy,Sayori,What am I?,['?'],3,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,Make it stop!,"['make', 'stop', '!']",3,0.0,0.0,1.0,0
script-ch0.rpy,Sayori,PLEASE MAKE IT STOP!,"['please', 'make', 'stop', '!']",4,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Dont worry guys~,"['dont', 'worry', 'guys~']",3,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,player always gives it his best as long as hes having fun.,"['player', 'always', 'gives', 'best', 'long', 'hes', 'fun']",12,0.4166666666666667,0.3,0.9166666666666666,0
script-ch1.rpy,Sayori,He helps me with busywork without me even asking.,"['helps', 'busywork', 'without', 'even', 'asking']",9,0.0,0.0,0.8888888888888888,0
script-ch1.rpy,Sayori,Like cooking cleaning my room...,"['like', 'cooking', 'cleaning', 'room', '...']",5,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Is that so... Ehehe...,"['...', 'ehehe', '...']",4,0.0,0.0,1.0,3
script-ch1.rpy,Sayori,How come? You and player can become good friends too!,"['come', '?', 'player', 'become', 'good', 'friends', '!']",10,0.875,0.6000000000000001,1.0,0
script-ch1.rpy,Sayori,Hmm?,"['hmm', '?']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Oh oh! Yuri even brought you something today you know~,"['oh', 'oh', '!', 'yuri', 'even', 'brought', 'something', 'today', 'know~']",10,0.0,0.0,0.8,0
script-ch1.rpy,Sayori,Dont be shy~,"['dont', 'shy~']",3,-0.5,0.5,1.0,0
script-ch1.rpy,Sayori,Eh? Im sorry Yuri I wasnt thinking...,"['eh', '?', 'im', 'sorry', 'yuri', 'wasnt', 'thinking', '...']",7,-0.5,1.0,1.0,0
script-ch1.rpy,Sayori,I cant wait~!,"['cant', 'wait~', '!']",3,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,U-Um!!,"['u-um', '!', '!']",2,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Is everyone okay...?,"['everyone', 'okay', '...', '?']",3,0.5,0.5,1.0,0
script-ch1.rpy,Sayori,I-I dont like fighting guys...!,"['i-i', 'dont', 'like', 'fighting', 'guys', '...', '!']",6,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,It was a lot of fun!,"['lot', 'fun', '!']",6,0.375,0.2,1.0,0
script-ch1.rpy,Sayori,player!,"['player', '!']",1,0.0,0.0,1.0,4
script-ch1.rpy,Sayori,Ready to walk home?,"['ready', 'walk', 'home', '?']",4,0.2,0.5,1.0,0
script-ch1.rpy,Sayori,Ehehe~,['ehehe~'],1,0.0,0.0,1.0,2
script-ch1.rpy,Sayori,Eh? What do you mean?,"['eh', '?', 'mean', '?']",5,-0.3125,0.6875,1.0,0
script-ch1.rpy,Sayori,No no no!,['!'],3,0.0,0.0,0.3333333333333333,3
script-ch1.rpy,Sayori,Thats really the first time Ive seen them fight like that...,"['thats', 'really', 'first', 'time', 'ive', 'seen', 'fight', 'like', '...']",11,0.225,0.26666666666666666,1.0,3
script-ch1.rpy,Sayori,I promise theyre both wonderful people.,"['promise', 'theyre', 'wonderful', 'people']",6,1.0,1.0,1.0,0
script-ch1.rpy,Sayori,You dont... You dont hate them do you??,"['dont', '...', 'dont', 'hate', '?', '?']",8,-0.8,0.9,0.625,0
script-ch1.rpy,Sayori,Phew...,"['phew', '...']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,You know player...,"['know', 'player', '...']",3,0.0,0.0,1.0,4
script-ch1.rpy,Sayori,Its nice that I get to spend time with you in the club.,"['nice', 'get', 'spend', 'time', 'club']",13,0.6,1.0,1.0,3
script-ch1.rpy,Sayori,But I think seeing you get along with everyone is what makes me the happiest.,"['think', 'seeing', 'get', 'along', 'everyone', 'makes', 'happiest']",15,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,And I think everyone really likes you too!,"['think', 'everyone', 'really', 'likes', '!']",8,0.25,0.2,1.0,0
script-ch1.rpy,Sayori,Ehehe~,['ehehe~'],1,0.0,0.0,1.0,2
script-ch1.rpy,Sayori,Every day is going to be so much fun~,"['every', 'day', 'going', 'much', 'fun~']",9,0.3,0.2,0.8888888888888888,0
script-ch1.rpy,Sayori,Okay~!,"['okay~', '!']",1,0.625,0.5,1.0,0
script-ch1.rpy,Sayori,Yeah! Youre naturally beautiful Yuri!!,"['yeah', '!', 'youre', 'naturally', 'beautiful', 'yuri', '!', '!']",5,1.0,1.0,1.0,0
script-ch1.rpy,Sayori,Ehh?,"['ehh', '?']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,I was just trying to help!,"['trying', 'help', '!']",6,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,I disagree Monika!,"['disagree', 'monika', '!']",3,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Thats not the most important thing about the literature club!,"['thats', 'important', 'thing', 'literature', 'club', '!']",10,0.5,0.75,0.9,1
script-ch1.rpy,Sayori,The most important thing...,"['important', 'thing', '...']",4,0.45,0.75,1.0,0
script-ch1.rpy,Sayori,Is having fun!,"['fun', '!']",3,0.375,0.2,1.0,0
script-ch1.rpy,Sayori,Ehehe...,"['ehehe', '...']",1,0.0,0.0,1.0,2
script-ch1.rpy,Sayori,U-Um!,"['u-um', '!']",2,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Sometimes when Im hurt...,"['sometimes', 'im', 'hurt', '...']",4,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,It helps to take a walk and clear my head!,"['helps', 'take', 'walk', 'clear', 'head', '!']",10,0.12500000000000003,0.3833333333333333,1.0,0
script-ch1.rpy,Sayori,Natsuki...,"['natsuki', '...']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Eh?!,"['eh', '?', '!']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,player...,"['player', '...']",1,0.0,0.0,1.0,4
script-ch1.rpy,Sayori,iStop!!/i,"['istop', '!', '!', '/i']",2,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Natsuki! Yuri!,"['natsuki', '!', 'yuri', '!']",2,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,You guys are my friends!,"['guys', 'friends', '!']",5,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,I-I just want everyone to get along and be happy!,"['i-i', 'want', 'everyone', 'get', 'along', 'happy', '!']",11,1.0,1.0,1.0,0
script-ch1.rpy,Sayori,My friends are wonderful people...,"['friends', 'wonderful', 'people', '...']",5,1.0,1.0,1.0,0
script-ch1.rpy,Sayori,And I love them because of their differences!,"['love', 'differences', '!']",8,0.625,0.6,1.0,0
script-ch1.rpy,Sayori,Natsukis poems...,"['natsukis', 'poems', '...']",2,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Theyre amazing because they give you so many feelings with just a few words!,"['theyre', 'amazing', 'give', 'many', 'feelings', 'words', '!']",14,0.2833333333333334,0.5,1.0,0
script-ch1.rpy,Sayori,And Yuris poems are amazing because they paint beautiful pictures in your head!,"['yuris', 'poems', 'amazing', 'paint', 'beautiful', 'pictures', 'head', '!']",13,0.8,0.95,1.0,0
script-ch1.rpy,Sayori,Everyones so talented...,"['everyones', 'talented', '...']",3,0.7,0.9,1.0,0
script-ch1.rpy,Sayori,...So why are we fighting...?,"['...', 'fighting', '...', '?']",5,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Also!,"['also', '!']",1,0.0,0.0,1.0,0
script-ch1.rpy,Sayori,Natsukis cute and theres nothing wrong with that!,"['natsukis', 'cute', 'theres', 'nothing', 'wrong', '!']",8,-0.0625,0.95,1.0,3
script-ch1.rpy,Sayori,And Yuris boobs are the same as they always were!,"['yuris', 'boobs', 'always', '!']",10,0.0,0.125,0.9,0
script-ch1.rpy,Sayori,Big and beautiful!!,"['big', 'beautiful', '!', '!']",3,0.5,0.55,1.0,0
script-ch10.rpy,Sayori,gtext,['gtext'],1,0.0,0.0,1.0,0
script-ch10.rpy,Sayori,cps=60gtext/cpsnw,['cps=60gtext/cpsnw'],3,0.0,0.0,1.0,0
script-ch10.rpy,Sayori,cps=60gtext/cpsnw,['cps=60gtext/cpsnw'],3,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Hi player~,"['hi', 'player~']",2,0.0,0.0,1.0,4
script-ch2.rpy,Sayori,Ehehe~,['ehehe~'],1,0.0,0.0,1.0,2
script-ch2.rpy,Sayori,Im just still not used to you being in the club thats all.,"['im', 'still', 'used', 'club', 'thats']",13,0.0,0.0,1.0,1
script-ch2.rpy,Sayori,Speaking of which...,"['speaking', '...']",3,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Im kinda hungry...,"['im', 'kinda', 'hungry', '...']",3,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Will you come with me to buy a snack?,"['come', 'buy', 'snack', '?']",9,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Eh??,"['eh', '?', '?']",1,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,T-Thats not like you at all!!,"['t-thats', 'like', '!', '!']",7,0.0,0.0,1.0,1
script-ch2.rpy,Sayori,E-Eh?,"['e-eh', '?']",2,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Why that...all of a sudden?,"['...', 'sudden', '?']",6,0.0,0.5,1.0,3
script-ch2.rpy,Sayori,A-Ah...,"['a-ah', '...']",2,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,A-Ahaha...,"['a-ahaha', '...']",2,0.0,0.0,1.0,1
script-ch2.rpy,Sayori,Thats not fair!,"['thats', 'fair', '!']",3,-0.4375,0.9,1.0,1
script-ch2.rpy,Sayori,How did you even know?,"['even', 'know', '?']",5,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Uwaaa~!,"['uwaaa~', '!']",1,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,I give up!,"['give', '!']",3,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Dont make me feel guiltyyy!,"['dont', 'make', 'feel', 'guiltyyy', '!']",5,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Yuriiii...,"['yuriiii', '...']",1,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Tell player to let me borrow some money...,"['tell', 'player', 'let', 'borrow', 'money', '...']",8,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Ahaha!,"['ahaha', '!']",1,0.0,0.0,1.0,1
script-ch2.rpy,Sayori,I really like when you speak your mind Yuri...,"['really', 'like', 'speak', 'mind', 'yuri', '...']",9,0.2,0.2,1.0,0
script-ch2.rpy,Sayori,It doesnt happen much but its a fun side of you!,"['doesnt', 'happen', 'much', 'fun', 'side', '!']",11,0.2875,0.2,1.0,0
script-ch2.rpy,Sayori,You were right though...,"['right', 'though', '...']",4,0.2857142857142857,0.5357142857142857,1.0,0
script-ch2.rpy,Sayori,I did something bad and now I have to accept the revolution.,"['something', 'bad', 'accept', 'revolution']",12,-0.6999999999999998,0.6666666666666666,0.9166666666666666,0
script-ch2.rpy,Sayori,That!,['!'],1,0.0,0.0,1.0,3
script-ch2.rpy,Sayori,Ehehe...,"['ehehe', '...']",1,0.0,0.0,1.0,2
script-ch2.rpy,Sayori,B-But...!,"['b-but', '...', '!']",2,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,You wouldnt have come if it werent for the cupcakes...,"['wouldnt', 'come', 'werent', 'cupcakes', '...']",10,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,So I had to trick Natsuki into making them!,"['trick', 'natsuki', 'making', '!']",9,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Ehehe...,"['ehehe', '...']",1,0.0,0.0,1.0,2
script-ch2.rpy,Sayori,Kyaa--!,"['kyaa', '--', '!']",1,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Ow...,"['ow', '...']",1,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,What was--,['--'],2,0.0,0.0,1.0,0
script-ch2.rpy,Sayori,Eh??,"['eh', '?', '?']",1,0.0,0.0,1.0,0
