file,name,line,tokens,words_num,polarity,subjectivity,lex_div,Cluster
script-ch0.rpy,MC,Maybe but only because I decided to stop and wait for you.,"['maybe', 'decided', 'stop', 'wait']",12,0.0,1.0,1.0,3
script-ch0.rpy,MC,Well if people stare at you for acting weird then I dont want them to think were a couple or something.,"['well', 'people', 'stare', 'acting', 'weird', 'dont', 'want', 'think', 'couple', 'something']",21,-0.25,0.5,1.0,3
script-ch0.rpy,MC,Whatever you say Sayori...,"['whatever', 'say', 'sayori', '...']",4,0.0,0.0,1.0,3
script-ch0.rpy,MC,A club?,"['club', '?']",2,0.0,0.0,1.0,0
script-ch0.rpy,MC,I told you already Im really not interested in joining any clubs.,"['told', 'already', 'im', 'really', 'interested', 'joining', 'clubs']",12,-0.125,0.5,1.0,3
script-ch0.rpy,MC,I havent been looking either.,"['havent', 'looking', 'either']",5,0.0,0.0,1.0,0
script-ch0.rpy,MC,Did I...?,"['...', '?']",2,0.0,0.0,1.0,0
script-ch0.rpy,MC,Alright alright...,"['alright', 'alright', '...']",2,0.0,0.0,0.5,0
script-ch0.rpy,MC,Ill look at a few clubs if it makes you happy.,"['ill', 'look', 'clubs', 'makes', 'happy']",11,0.03333333333333336,0.7000000000000001,1.0,3
script-ch0.rpy,MC,No promises though.,"['promises', 'though']",3,0.0,0.0,1.0,0
script-ch0.rpy,MC,Yeah I guess Ill promise you that.,"['yeah', 'guess', 'ill', 'promise']",7,-0.5,1.0,1.0,3
script-ch0.rpy,MC,Clubs...,"['clubs', '...']",1,0.0,0.0,1.0,0
script-ch0.rpy,MC,Sayori...?,"['sayori', '...', '?']",1,0.0,0.0,1.0,2
script-ch0.rpy,MC,You dont need to wait up for me if its going to make you late to your own club.,"['dont', 'need', 'wait', 'going', 'make', 'late', 'club']",19,0.15,0.8,0.8421052631578947,3
script-ch0.rpy,MC,Know what?,"['know', '?']",2,0.0,0.0,1.0,3
script-ch0.rpy,MC,Sayori...,"['sayori', '...']",1,0.0,0.0,1.0,2
script-ch0.rpy,MC,...There is no way Im going to your club.,"['...', 'way', 'im', 'going', 'club']",9,0.0,0.0,1.0,0
script-ch0.rpy,MC,Yeah. Im going to the anime club.,"['yeah', 'im', 'going', 'anime', 'club']",7,0.0,0.0,1.0,0
script-ch0.rpy,MC,Why do you care so much anyway?,"['care', 'much', 'anyway', '?']",7,0.2,0.2,1.0,3
script-ch0.rpy,MC,Dont make promises you cant keep!,"['dont', 'make', 'promises', 'cant', 'keep', '!']",6,0.0,0.0,1.0,3
